samples_name,Type 1
Ec8,
Ec4,
90,
153,
V17,
123,
96,
Ec7,
Ec5,
Ec1,
164,
54,
172,
188,
14,
168,
108,
129,
V43,
31,
159,
134,
112,
95,
516,
494,EKOK_1
184,
109,
89,
126,
107,
173,
44,
V15,
V13,
76,
140,
148,
119,
106,
151,
185,
176,
522,
V48,
67,
V3,
V9,
69,
V12,
166,
141,
V38,
177,
83,
57,
502,EKOK_1
84,
142,
53,
55,
163,
132,
104,
16,
174,
124,
136,
38,
486,EKOK_1
27,
182,
183,
135,
143,
56,
133,
34,
157,
175,
V49,
94,
Yus3,
493,
146,
91,
88,
492,EKOK_1
121,
81,
61,
178,
131,
75,
128,
Y9,
28,
171,
152,
48,
518,
110,
155,
60,
169,
127,
145,
97,
130,
115,
105,
V47,
523,
V11,
63,
71,
V53,
113,
490,EKOK_1
170,
62,
99,
111,
165,
V2,
167,
491,
22,
103,
42,
189,
V36,
V14,
13,
70,
125,
59,
190,
122,
117,
hpK,
65,
V50,
158,
180,
V37,
118,
149,
73,
503,
V1,
Y4,
Ec3,
Ec6,
Ec2,
Yus4,
V8,
138,
V19,
Y8,
74,
Ec9,
519,
64,
86,
161,
501,
D2,
162,
160,
232,
D4,
495,
525,
D3,
V7,
