samples_name,Type 1
v3.Len.15,
v3.Len.27,
v3.Len.18,
v3.Len.33,
v3.Len.31,
v3.Len.29,
v3.Len.04,
v3.Len.23,
v3.Len.11,EKOK_2
v3.Len.32,
v3.Len.30,
v3.Len.07,
v3.Len.35,
v3.Len.34,
v3.Len.38,
v3.Len.37,
v3.Len.19,
v3.Len.20,
v3.Len.01,
v3.Len.28,
v3.Len.05,
v3.Len.22,
v3.Len.21,
v3.Len.12,EKOK_1
v3.Len.02,
v3.Len.36,
v3.Len.24,
v3.Len.08,
v3.Len.03,
v3.Len.06,
v3.Len.17,
v3.Len.16,
